idTopic,Topic,CategoryHierId,Category,TypeHierId,Type,TypeValue,CategoryValue,FSA
5,Housing,9.1.5,Nombre moyen de pièces par logement,,,,5.5,H1A
5,Housing,9.1.13.5,  Valeur médiane des logements ($),,,,259561.0,H1A
5,Housing,9.1.13.6,  Valeur moyenne des logements ($),,,,267657.0,H1A
5,Housing,9.1.1,Total - Ménages privés selon le mode d'occupation - Données-échantillons (25 %),9.1.1.1,  Propriétaire,8625.0,13815.0,H1A
5,Housing,9.1.1,Total - Ménages privés selon le mode d'occupation - Données-échantillons (25 %),9.1.1.2,  Locataire,5190.0,13815.0,H1A
5,Housing,9.1.1,Total - Ménages privés selon le mode d'occupation - Données-échantillons (25 %),9.1.1.3,  Logement de bande,0.0,13815.0,H1A
5,Housing,9.1.3,Total - Logements privés occupés selon le nombre de chambres à coucher - Données-échantillons (25 %),9.1.3.1,  Aucune chambre à coucher,60.0,13820.0,H1A
5,Housing,9.1.3,Total - Logements privés occupés selon le nombre de chambres à coucher - Données-échantillons (25 %),9.1.3.2,  1 chambre à coucher,1670.0,13820.0,H1A
5,Housing,9.1.3,Total - Logements privés occupés selon le nombre de chambres à coucher - Données-échantillons (25 %),9.1.3.3,  2 chambres à coucher,5530.0,13820.0,H1A
5,Housing,9.1.3,Total - Logements privés occupés selon le nombre de chambres à coucher - Données-échantillons (25 %),9.1.3.4,  3 chambres à coucher,4715.0,13820.0,H1A
5,Housing,9.1.3,Total - Logements privés occupés selon le nombre de chambres à coucher - Données-échantillons (25 %),9.1.3.5,  4 chambres à coucher ou plus,1855.0,13820.0,H1A
5,Housing,9.1.4,Total - Logements privés occupés selon le nombre de pièces - Données-échantillons (25 %),9.1.4.1,  1 à 4 pièces,5765.0,13815.0,H1A
5,Housing,9.1.4,Total - Logements privés occupés selon le nombre de pièces - Données-échantillons (25 %),9.1.4.2,  5 pièces,2400.0,13815.0,H1A
5,Housing,9.1.4,Total - Logements privés occupés selon le nombre de pièces - Données-échantillons (25 %),9.1.4.3,  6 pièces,1630.0,13815.0,H1A
5,Housing,9.1.4,Total - Logements privés occupés selon le nombre de pièces - Données-échantillons (25 %),9.1.4.4,  7 pièces,1655.0,13815.0,H1A
5,Housing,9.1.4,Total - Logements privés occupés selon le nombre de pièces - Données-échantillons (25 %),9.1.4.5,  8 pièces ou plus,2370.0,13815.0,H1A
5,Housing,9.1.8,Total - Logements privés occupés selon la période de construction - Données-échantillons (25 %),9.1.8.1,  1960 ou avant,1810.0,13820.0,H1A
5,Housing,9.1.8,Total - Logements privés occupés selon la période de construction - Données-échantillons (25 %),9.1.8.2,  1961 à 1980,3680.0,13820.0,H1A
5,Housing,9.1.8,Total - Logements privés occupés selon la période de construction - Données-échantillons (25 %),9.1.8.3,  1981 à 1990,4265.0,13820.0,H1A
5,Housing,9.1.8,Total - Logements privés occupés selon la période de construction - Données-échantillons (25 %),9.1.8.4,  1991 à 2000,2145.0,13820.0,H1A
5,Housing,9.1.8,Total - Logements privés occupés selon la période de construction - Données-échantillons (25 %),9.1.8.5,  2001 à 2005,635.0,13820.0,H1A
5,Housing,9.1.8,Total - Logements privés occupés selon la période de construction - Données-échantillons (25 %),9.1.8.6,  2006 à 2010,700.0,13820.0,H1A
5,Housing,9.1.8,Total - Logements privés occupés selon la période de construction - Données-échantillons (25 %),9.1.8.7,  2011 à 2016,575.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.1,  15 à 24 ans,285.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.2,  25 à 34 ans,1705.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.3,  35 à 44 ans,2205.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.4,  45 à 54 ans,2905.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.5,  55 à 64 ans,3505.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.6,  65 à 74 ans,2045.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.7,  75 à 84 ans,915.0,13820.0,H1A
5,Housing,9.1.11,Total - Ménages privés selon l'âge du principal soutien du ménage - Données-échantillons (25 %),9.1.11.8,  85 ans et plus,240.0,13820.0,H1A
4,Family,2.1.2,Total - Ménages privés selon la taille du ménage - Données intégrales (100 %),,,,13830.0,H1A
4,Family,2.1.3,Nombre de personnes dans les ménages privés,,,,31060.0,H1A
4,Family,2.3.3,Total - Familles de recensement dans les ménages privés - Données intégrales (100 %),,,,9070.0,H1A
4,Family,2.3.6,Total - Personnes hors famille de recensement dans les ménages privés - Données intégrales (100 %),,,,6080.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.1,  Maison individuelle non attenante,3430.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.2,  Appartement dans un immeuble de cinq étages ou plus,245.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.3,  Autre logement attenant,10150.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.3.1,    Maison jumelée,1085.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.3.2,    Maison en rangée,1835.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.3.3,    Appartement ou plain-pied dans un duplex,500.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.3.4,    Appartement dans un immeuble de moins de cinq étages,6725.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.3.5,    Autre maison individuelle attenante,10.0,13830.0,H1A
4,Family,2.1.1,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),2.1.1.4,  Logement mobile,5.0,13830.0,H1A
4,Family,2.3.4,Total - Familles de recensement comptant un couple dans les ménages privés - Données intégrales (100 %),2.3.4.1,  Couples sans enfants,3625.0,6990.0,H1A
4,Family,2.3.4,Total - Familles de recensement comptant un couple dans les ménages privés - Données intégrales (100 %),2.3.4.2,  Couples avec enfants,3370.0,6990.0,H1A
4,Family,2.3.4,Total - Familles de recensement comptant un couple dans les ménages privés - Données intégrales (100 %),2.3.4.2.1,    1 enfant,1540.0,6990.0,H1A
4,Family,2.3.4,Total - Familles de recensement comptant un couple dans les ménages privés - Données intégrales (100 %),2.3.4.2.2,    2 enfants,1305.0,6990.0,H1A
4,Family,2.3.4,Total - Familles de recensement comptant un couple dans les ménages privés - Données intégrales (100 %),2.3.4.2.3,    3 enfants ou plus,525.0,6990.0,H1A
4,Family,2.3.5,Total - Familles de recensement monoparentales dans les ménages privés  - Données intégrales (100 %),2.3.5.1,  1 enfant,1340.0,2075.0,H1A
4,Family,2.3.5,Total - Familles de recensement monoparentales dans les ménages privés  - Données intégrales (100 %),2.3.5.2,  2 enfants,560.0,2075.0,H1A
4,Family,2.3.5,Total - Familles de recensement monoparentales dans les ménages privés  - Données intégrales (100 %),2.3.5.3,  3 enfants ou plus,175.0,2075.0,H1A
4,Family,2.4.1.3,  Ménages sans famille de recensement,2.4.1.3.1,    Ménages composés d'une personne,4400.0,4910.0,H1A
4,Family,2.4.1.3,  Ménages sans famille de recensement,2.4.1.3.2,    Ménages sans famille de recensement composés de deux personnes ou plus,510.0,4910.0,H1A
7,Income,4.1.1,Total - Statistiques du revenu en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),,,,26395.0,H1A
7,Income,4.1.1.1.1,    Revenu total médian en 2015 parmi les bénéficiaires ($),,,,35303.0,H1A
7,Income,4.1.2.1.1,    Revenu total moyen en 2015 parmi les bénéficiaires ($),,,,40824.0,H1A
7,Income,4.2.1,Total - Statistiques du revenu en 2015 pour les ménages privés selon la taille du ménage - Données intégrales (100 %),,,,13830.0,H1A
7,Income,4.2.1.1,  Revenu total médian des ménages en 2015 ($),,,,62608.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.1,  Sans revenu total,955.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.2,  Ayant un revenu total,25445.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3,  Pourcentage avec un revenu total,96.4,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.1,    Moins de 10 000 $ (comprend les pertes),2765.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.2,    10 000 $ à 19 999 $,4320.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.3,    20 000 $ à 29 999 $,3775.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.4,    30 000 $ à 39 999 $,3610.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.5,    40 000 $ à 49 999 $,3470.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.6,    50 000 $ à 59 999 $,2520.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.7,    60 000 $ à 69 999 $,1635.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.8,    70 000 $ à 79 999 $,1240.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.9,    80 000 $ à 89 999 $,700.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.10,    90 000 $ à 99 999 $,460.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.11,    100 000 $ et plus,950.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.11.1,      100 000 $ à 149 999 $,740.0,26395.0,H1A
7,Income,4.1.5,Tranches de revenu total en 2015 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),4.1.5.3.11.2,      150 000 $ et plus,215.0,26395.0,H1A
7,Income,4.2.1,Total - Statistiques du revenu en 2015 pour les ménages privés selon la taille du ménage - Données intégrales (100 %),4.2.1.1,  Revenu total médian des ménages en 2015 ($),62608.0,13830.0,H1A
7,Income,4.2.1,Total - Statistiques du revenu en 2015 pour les ménages privés selon la taille du ménage - Données intégrales (100 %),4.2.1.2,  Revenu après impôt médian des ménages en 2015 ($),53962.0,13830.0,H1A
7,Income,4.2.1,Total - Statistiques du revenu en 2015 pour les ménages privés selon la taille du ménage - Données intégrales (100 %),4.2.1.2.1,    Total - Statistiques du revenu en 2015  pour les ménages privés comptant une personne - Données intégrales (100 %),4400.0,13830.0,H1A
7,Income,4.2.1,Total - Statistiques du revenu en 2015 pour les ménages privés selon la taille du ménage - Données intégrales (100 %),4.2.1.2.1.1,      Revenu total médian des ménages comptant une personne en 2015 ($),36203.0,13830.0,H1A
7,Income,4.2.1,Total - Statistiques du revenu en 2015 pour les ménages privés selon la taille du ménage - Données intégrales (100 %),4.2.1.2.1.2,      Revenu après impôt médian des ménages comptant une personne en 2015 ($),31483.0,13830.0,H1A
7,Income,4.2.1,Total - Statistiques du revenu en 2015 pour les ménages privés selon la taille du ménage - Données intégrales (100 %),4.2.1.2.2,    Total - Statistiques du revenu en 2015  pour les ménages privés comptant deux personnes ou plus - Données intégrales (100 %),9430.0,13830.0,H1A
