OBJECTID;DT_MAJ_GDUNO;CD_ORGNS;NOM_COURT;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;TYPE_ORGNS;RESEAU;SITE_WEB;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;STYLE_CART
38;20200706;020510;Conservatoire de musique de Rimouski;Conservatoire de musique de Rimouski;22, rue Sainte-Marie;;10043;Rimouski;V;G5L4E2;École gouvernementale;Gouvernemental;http://www.conservatoire.gouv.qc.ca/rimouski/index;-68.528938;48.449422;Collégial;3_Gouvernemental
162;20200706;100501;Conservatoire de musique de Saguenay;Conservatoire de musique de Saguenay;202, rue Jacques-Cartier Est;;94068;Saguenay;V;G7H6R8;École gouvernementale;Gouvernemental;http://www.conservatoire.gouv.qc.ca/saguenay/index;-71.061322;48.425983;Collégial;3_Gouvernemental
250;20200706;190504;ITA La Pocatière;Institut de technologie agroalimentaire, campus de La Pocatière;401, rue Poiré;;14085;La Pocatière;V;G0R1Z0;École gouvernementale;Gouvernemental;http://www.ita.qc.ca/;-70.039112;47.364841;Collégial;3_Gouvernemental
322;20200706;260504;Conservatoire de musique Trois-Rivières;Conservatoire de musique de Trois-Rivières;587, rue Radisson;;37067;Trois-Rivières;V;G9A2C8;École gouvernementale;Gouvernemental;http://www.conservatoire.gouv.qc.ca/reseau/conserv;-72.54645;46.343818;Collégial;3_Gouvernemental
488;20200706;440512;ITA St-Hyacinthe;Institut de technologie agroalimentaire, campus de Saint-Hyacinthe;3230, rue Sicotte;C.P. 70;54048;Saint-Hyacinthe;V;J2S7B3;École gouvernementale;Gouvernemental;http://www.ita.qc.ca;-72.967748;45.618869;Collégial;3_Gouvernemental
558;20200706;520500;Conservatoire de musique de Val-d'Or;Conservatoire de musique de Val-d'Or;88, rue Allard;;89008;Val-d'Or;V;J9P2Y1;École gouvernementale;Gouvernemental;http://www.conservatoire.gouv.qc.ca/val-dor/index.;-77.774428;48.095151;Collégial;3_Gouvernemental
527;20200706;470502;Conservatoire de musique de Gatineau;Conservatoire de musique de Gatineau;430, boul. Alexandre-Taché;;81017;Gatineau;V;J9A1M7;École gouvernementale;Gouvernemental;http://www.conservatoire.gouv.qc.ca;-75.748541;45.421701;Collégial;3_Gouvernemental
674;20200706;669510;Conservatoire de musique de Québec;Conservatoire de musique de Québec;270, rue Jacques-Parizeau;;23027;Québec;V;G1R5G1;École gouvernementale;Gouvernemental;https://www.conservatoire.gouv.qc.ca/reseau/conser;-71.221507;46.806112;Collégial;3_Gouvernemental
799;20200706;699600;Campus Macdonald - Université McGill;Macdonald College - Université McGill;Programme GTEA, Harrison House;21 111,  chemin Lakeshore;66117;Sainte-Anne-de-Bellevue;V;H9X3V9;École gouvernementale;Gouvernemental;http://www.mcgill.ca/fmt;-73.943265;45.40411;Collégial;3_Gouvernemental
1279;20200706;749572;Conservatoire de musique de Montréal;Conservatoire de musique de Montréal;4750, avenue Henri-Julien;;66023;Montréal;V;H2T2C8;École gouvernementale;Gouvernemental;http://www.conservatoire.gouv.qc.ca/montreal/index;-73.586346;45.523459;Collégial;3_Gouvernemental
