OBJECTID;DT_MAJ_GDUNO;CD_ORGNS;NOM_COURT;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;TYPE_ORGNS;RESEAU;SITE_WEB;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;STYLE_CART
3776;20200706;975000;Université Laval;Université Laval;Université Laval;;23027;Québec;V;G1V0A6;Université;Sans objet;http://www.ulaval.ca/;-71.270211;46.778955;Universitaire;1_Univ
3777;20200706;976000;Université de Montréal;Université de Montréal;2900, boulevard Édouard-Montpetit;;66023;Montréal;V;H3T1J4;Université;Sans objet;www.umontreal.ca;-73.618531;45.503305;Universitaire;1_Univ
3778;20200706;976001;HEC Montréal;École des Hautes Études Commerciales de Montréal;3000, chemin de la Côte-Sainte-Catherine;;66023;Montréal;V;H3T2A7;Université;Sans objet;http://www.hec.ca/;-73.621209;45.503412;Universitaire;1_Univ
3779;20200706;976002;École Polytechnique de Montréal;École Polytechnique de Montréal;Campus de l'Université de Montréal;2900, boulevard Édouard-Montpetit;66023;Montréal;V;H3T1J4;Université;Sans objet;http://www.polymtl.ca/;-73.612659;45.50505;Universitaire;1_Univ
3780;20200706;976999;Univ de Montréal et ses écoles affiliées;Université de Montréal et ses écoles affiliées;2900, boulevard Édouard-Montpetit;;66023;Montréal;V;H3C3J7;Regroupement administratif uni;Sans objet;http://www.umontreal.ca/;-73.618531;45.503305;Universitaire;1_Univ
3781;20200706;977000;Université de Sherbrooke;Université de Sherbrooke;2500, boulevard de l'Université;;43027;Sherbrooke;V;J1K2R1;Université;Sans objet;http://www.usherbrooke.ca/;-71.924622;45.375828;Universitaire;1_Univ
3782;20200706;978000;Université du Québec;Université du Québec;475, rue du Parvis;;23027;Québec;V;G1K9H7;Regroupement légal;Sans objet;http://www.uquebec.ca/;-71.222095;46.813396;Universitaire;1_Univ
3783;20200706;978001;Université du Québec à Montréal;Université du Québec à Montréal;Case postale 8888;Succursale Centre-ville;66023;Montréal;V;H3C3P8;Constituante;Sans objet;http://www.uqam.ca/;-73.560474;45.514352;Universitaire;1_Univ
3784;20200706;978002;Université du Québec à Trois-Rivières;Université du Québec à Trois-Rivières;3351, boulevard des Forges;;37067;Trois-Rivières;V;G9A5H7;Constituante;Sans objet;http://www.uqtr.ca/;-72.57778;46.348038;Universitaire;1_Univ
3785;20200706;978003;Université du Québec à Chicoutimi;Université du Québec à Chicoutimi;555, boulevard de l'Université;;94068;Saguenay;V;G7H2B1;Constituante;Sans objet;http://www.uqac.ca;-71.049204;48.418772;Universitaire;1_Univ
3786;20200706;978004;Université du Québec à Rimouski;Université du Québec à Rimouski;300, allée des Ursulines;;10043;Rimouski;V;G5L3A1;Constituante;Sans objet;http://www.uqar.ca;-68.512139;48.452105;Universitaire;1_Univ
3787;20200706;978005;Université du Québec en Outaouais;Université du Québec en Outaouais;Pavillon Alexandre-Taché;283, boulevard Alexandre-Taché;81017;Gatineau;V;J9A1L8;Constituante;Sans objet;http://www.uqo.ca;-75.739;45.422778;Universitaire;1_Univ
3788;20200706;978006;Université Québec Abitibi-Témiscamingue;Université du Québec en Abitibi-Témiscamingue;445, boulevard de l'Université;;86042;Rouyn-Noranda;V;J9X5E4;Constituante;Sans objet;http://www.uqat.ca/;-79.008929;48.230713;Universitaire;1_Univ
3789;20200706;978007;École nationale administration publique;École nationale d'administration publique;555, boulevard Charest Est;;23027;Québec;V;G1K9E5;Constituante;Sans objet;http://www.enap.ca/;-71.222456;46.813871;Universitaire;1_Univ
3790;20200706;978008;Inst. national de recherche scientifique;Institut national de la recherche scientifique;490, rue de la Couronne;;23027;Québec;V;G1K9A9;Constituante;Sans objet;http://www.inrs.ca/;-71.224392;46.812698;Universitaire;1_Univ
3791;20200706;978010;École de technologie supérieure;École de technologie supérieure;1100, rue Notre-Dame Ouest;;66023;Montréal;V;H3C1K3;Constituante;Sans objet;http://www.etsmtl.ca/;-73.562603;45.494522;Universitaire;1_Univ
3792;20200706;978011;Télé-université;Télé-université;455, rue du Parvis;;23027;Québec;V;G1K9H6;Constituante;Sans objet;http://www.teluq.uquebec.ca/;-71.222095;46.813396;Universitaire;1_Univ
3793;20200706;978012;Université du Québec (siège social);Université du Québec (siège social);475, rue du Parvis;;23027;Québec;V;G1K9H7;Siège social;Sans objet;http://www.uquebec.ca/;-71.222095;46.813396;Universitaire;1_Univ
3794;20200706;979000;Université McGill;Université McGill;845, rue Sherbrooke Ouest;;66023;Montréal;V;H3A2T5;Université;Sans objet;http://www.mcgill.ca/;-73.576897;45.505187;Universitaire;1_Univ
3795;20200706;980000;Université Concordia;Université Concordia;1455, boulevard de Maisonneuve Ouest;;66023;Montréal;V;H3G1M8;Université;Sans objet;http://www.concordia.ca/;-73.578998;45.497303;Universitaire;1_Univ
3796;20200706;981000;Université Bishop's;Université Bishop's;2600, rue du Collège;;43027;Sherbrooke;V;J1M1Z7;Université;Sans objet;http://www.ubishops.ca/;-71.847714;45.364837;Universitaire;1_Univ
3797;20200706;982000;Institut formation théologique Mtl;Institut de formation théologique de Montréal;2065, rue Sherbrooke Ouest;;66023;Montréal;V;H3H1G6;Organisme décernant des grades universitaires;Sans objet;www.iftm.ca;-73.586759;45.493518;Universitaire;1_Univ
