OBJECTID;DT_MAJ_GDUNO;COMBINE_NUO_NUI;CD_ORGNS;NOM_COURT_ORGNS;NOM_OFFCL_ORGNS;ADRS_GEO_L1_GDUNO_ORGNS;ADRS_GEO_L2_GDUNO_ORGNS;CD_POSTL_GDUNO_ORGNS;CD_MUNCP_GDUNO_ORGNS;NOM_MUNCP_GDUNO_ORGNS;CD_IMM;NOM_IMM;ADRS_GEO_L1_GDUNO_IMM;ADRS_GEO_L2_GDUNO_IMM;CD_MUNCP_GDUNO_IMM;NOM_MUNCP_GDUNO_IMM;CD_POSTL_GDUNO_IMM;PRESC;PRIM;SEC;FORM_PRO;ADULTE;SITE_WEB_ORGNS;COORD_X_LL84_IMM;COORD_Y_LL84_IMM;ORDRE_ENS;CD_CS;TYPE_CS;STYLE_CART
18;20200706;12086205;812440;CFP de La Côte-de-Gaspé;Centre de formation professionnelle de La Côte-de-Gaspé;85, boulevard de Gaspé;;G4X2T8;03005;Gaspé;812040;C.-E.-Pouliot;85, boulevard de Gaspé;;03005;Gaspé;G4X2T8;0;0;0;1;0;www.cschic-chocs.qc.ca;-64.477564;48.836896;Formation professionnelle;812000;Franco;8_OrgImm_Franco_Fp
19;20200706;12081205;812340;CEA de La Côte-de-Gaspé;Centre d'éducation des adultes de La Côte-de-Gaspé;85, boulevard de Gaspé;;G4X2T8;03005;Gaspé;812040;C.-E.-Pouliot;85, boulevard de Gaspé;;03005;Gaspé;G4X2T8;0;0;0;0;1;www.cschic-chocs.qc.ca;-64.477564;48.836896;Éducation aux adultes;812000;Franco;9_OrgImm_Franco_Adu
20;20200706;12073205;812040;École C.-E.-Pouliot;École C.-E.-Pouliot;85, boulevard de Gaspé;;G4X2T8;03005;Gaspé;812040;C.-E.-Pouliot;85, boulevard de Gaspé;;03005;Gaspé;G4X2T8;0;0;1;0;0;www.cschic-chocs.qc.ca;-64.477564;48.836896;Secondaire;812000;Franco;3_OrgImm_Franco_secondaire
21;20200706;12086206;812440;CFP de La Côte-de-Gaspé;Centre de formation professionnelle de La Côte-de-Gaspé;85, boulevard de Gaspé;;G4X2T8;03005;Gaspé;812058;Résidence des étudiants;95, boulevard Gaspé;;03005;Gaspé;G4X1A4;0;0;0;1;0;www.cschic-chocs.qc.ca;-64.479483;48.837785;Formation professionnelle;812000;Franco;8_OrgImm_Franco_Fp
22;20200706;12081206;812340;CEA de La Côte-de-Gaspé;Centre d'éducation des adultes de La Côte-de-Gaspé;85, boulevard de Gaspé;;G4X2T8;03005;Gaspé;812058;Résidence des étudiants;95, boulevard Gaspé;;03005;Gaspé;G4X1A4;0;0;0;0;1;www.cschic-chocs.qc.ca;-64.479483;48.837785;Éducation aux adultes;812000;Franco;9_OrgImm_Franco_Adu
23;20200706;12122207;813403;CFP Chandler-Bonaventure;Centre de formation professionnelle Chandler-Bonaventure;143, avenue Louisbourg;;G0C1E0;05045;Bonaventure;813007;Secondaire du Littoral;188, rue du Carrefour;;02015;Grande-Rivière;G0C1V0;0;0;0;1;0;http://www.csrl.qc.ca;-64.497443;48.403115;Formation professionnelle;813000;Franco;8_OrgImm_Franco_Fp
24;20200706;12092207;813007;École du Littoral;École secondaire du Littoral;188, rue du Carrefour;;G0C1V0;02015;Grande-Rivière;813007;Secondaire du Littoral;188, rue du Carrefour;;02015;Grande-Rivière;G0C1V0;0;0;1;0;0;http://www.csrl.qc.ca;-64.497443;48.403115;Secondaire;813000;Franco;3_OrgImm_Franco_secondaire
25;20200706;13569209;882009;École secondaire Evergreen;École secondaire Evergreen;155, rue Monseigneur Ross;;G0C1K0;02028;Chandler;813010;Polyvalente Monseigneur Sévigny;155, rue Mgr Ross Ouest;;02028;Chandler;G0C1K0;0;0;1;0;0;www.essb.qc.ca;-64.685828;48.354988;Secondaire;882000;Anglo;3_OrgImm_Anglo_secondaire
26;20200706;12123209;813404;Centre L'Envol;Centre de formation professionnelle L'Envol;15, rue Comeau;;G0C1J0;06013;Carleton-sur-Mer;813010;Polyvalente Monseigneur Sévigny;155, rue Mgr Ross Ouest;;02028;Chandler;G0C1K0;0;0;0;1;0;http://www.cfpcsrl.qc.ca;-64.685828;48.354988;Formation professionnelle;813000;Franco;8_OrgImm_Franco_Fp
27;20200706;12122209;813403;CFP Chandler-Bonaventure;Centre de formation professionnelle Chandler-Bonaventure;143, avenue Louisbourg;;G0C1E0;05045;Bonaventure;813010;Polyvalente Monseigneur Sévigny;155, rue Mgr Ross Ouest;;02028;Chandler;G0C1K0;0;0;0;1;0;http://www.csrl.qc.ca;-64.685828;48.354988;Formation professionnelle;813000;Franco;8_OrgImm_Franco_Fp
