Année,Arrondissement,Numéro d'arrondissement,Secteur,Mode de financement,Conseil,Catégorie,Application,Catégorie d'immeubles,Description des immeubles,Valeur minimale d'application,Valeur maximale d'application,Taux,Règle d'application
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil d'arrondissement,Taxe relative aux investissements,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0483",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil d'arrondissement,Taxe relative aux services,Simple,Tous les immeubles,Tous les immeubles,0,,"0,0436",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels,100001,,"0,22",$ / m3
2020,Ahuntsic-Cartierville,24,,Tarification,Conseil municipal,Tarification de l'eau,Paliers,Non résidentiels,Immeubles non résidentiels utilisés comme usines ou manufactures légères,100001,,"0,58",$ / m3
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues desservis,0,,"0,1043",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Résidentiels,Immeubles résidentiels de 6 logements ou plus,0,,"0,1043",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Réserve financière de l'eau,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,3472",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Résidentiels,Immeubles résidentiels,0,,"0,0035",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Réserve financière de la voirie,Simple,Non résidentiels,Immeubles non résidentiels,0,,"0,0228",$ / 100 $ d'évaluation
2020,Ahuntsic-Cartierville,24,,Taxation,Conseil municipal,Taxe foncière générale,Simple,Résidentiels,Immeubles résidentiels de 5 logements ou moins et terrains vagues non desservis,0,,"0,6372",$ / 100 $ d'évaluation
