NOM_MUN_COMPO,CODE_POSTAL_COMPO,PLACE_TOTAL_POUPON,PLACE_TOTAL,CODE_REGION_COMPO,INTERNET,PROVINCE,NOM,TYPE,REGION,ADRESSE,SUBV,telephone1,TELECOPIEUR1
Amqui,G5J 3H7,5,47,1,lesptitsflots@globetrotter.net,QC,"CENTRE DE LA PETITE ENFANCE ""LES P'TITS FLOTS"" INC.",CPE,1 - Bas-Saint-Laurent,"7, rue Saint-Augustin",CR,(418) 629-5363,(418) 629-3731
Causapscal,G0J 1J0,5,21,1,enfantrit@globetrotter.net,QC,L'ENFANT RIT INC.,CPE,1 - Bas-Saint-Laurent,"154, rue Saint-Luc",CR,(418) 756-6113,(418) 756-6123
Dégelis,G5T 1Y6,5,45,1,cpe@cpebccalinours.ca,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" INSTALLATION DÉGELIS",CPE,1 - Bas-Saint-Laurent,"113, 7e Rue Est",CR,"(418) 854-0255, poste 510",(418) 853-6006
L'Isle-Verte,G0L 1K0,5,21,1,cpedescantons@gmail.com,QC,CENTRE DE LA PETITE ENFANCE DES CANTONS DE RIVIÈRE DU LOUP,CPE,1 - Bas-Saint-Laurent,"10, rue Verreault",CR,(418) 898-2227,(418) 898-2226
La Pocatière,G0R 1Z0,0,42,1,cpe@farandole.ca,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,1 - Bas-Saint-Laurent,"405, 10e Avenue",CR,(418) 856-1154,(418) 856-1155
La Pocatière,G0R 1Z0,10,44,1,cpe@farandole.ca,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,1 - Bas-Saint-Laurent,"400, 3e Rue Fraser",CR,(418) 856-1154,(418) 856-1155
La Pocatière,G0R 1Z0,0,44,1,montessorilapocatiere@gmail.com,QC,PETITE ÉCOLE MONTESSORI DE LA POCATIÈRE,GARD,1 - Bas-Saint-Laurent,"100, 4è avenue Painchaud",,(418) 856-3012,
Matane,G4W 1K9,10,70,1,minis.explorateurs@gmail.com,QC,GARDERIE LES MINIS EXPLORATEURS,GARD,1 - Bas-Saint-Laurent,"580, rue Saint-Rédempteur",,(418) 566-3580,
Matane,G4W 3J4,0,60,1,dg@cpedelamatanie.ca,QC,LA MARMAILLE,CPE,1 - Bas-Saint-Laurent,"335, rue de la Gare",CR,(418) 562-2471,(418) 562-1842
Matane,G4W 2X7,10,68,1,dg@cpedelamatanie.ca,QC,LES P'TITS LOUPS DE MER,CPE,1 - Bas-Saint-Laurent,"210, avenue d'Amours",CR,(418) 566-4794,(418) 562-9410
Mont-Joli,G5H 1N9,10,60,1,montois@globetrotter.net,QC,CENTRE DE LA PETITE ENFANCE LES P'TITS MONTOIS,CPE,1 - Bas-Saint-Laurent,"69, avenue de la Gare",CR,(418) 775-4711,(418) 775-8299
Mont-Joli,G5H 2V8,0,8,1,montois@globetrotter.net,QC,LA PAS-R-AILES,CPE,1 - Bas-Saint-Laurent,"1564, boulevard Jacques-Cartier",CR,(418) 775-4712,(418) 775-8299
Métis-sur-Mer,G0J 1S0,5,21,1,directiongenerale@cpelespinsons.com,QC,INSTALLATION DE MÉTIS-SUR-MER,CPE,1 - Bas-Saint-Laurent,"24, rue du Couvent",CR,(418) 936-3073,(418) 936-3940
Rimouski,G5N 5E2,0,50,1,les3coins@gmail.com,QC,"CENTRE DE LA PETITE ENFANCE ""LES TROIS COINS""",CPE,1 - Bas-Saint-Laurent,"11, chemin Saint-Joseph",CR,(418) 735-2342,(418) 735-6024
Rimouski,G0L 1B0,5,47,1,cpebic@cgocable.ca,QC,CENTRE DE LA PETITE ENFANCE DU VILLAGE DU BIC,CPE,1 - Bas-Saint-Laurent,"74, rue Sainte-Cécile du Bic",CR,(418) 736-5262,(418) 736-5262
Rimouski,G5L 6J9,5,40,1,cpeborealedg@cgocable.ca,QC,CENTRE DE LA PETITE ENFANCE L'AURORE BORÉALE,CPE,1 - Bas-Saint-Laurent,"418, rue Rouer",CR,(418) 725-7270,(418) 725-4706
Rimouski,G5L 1G4,0,30,1,genevieve@cpbr.ca,QC,CENTRE PRÉSCOLAIRE BILINGUE DE RIMOUSKI INC.,GARD,1 - Bas-Saint-Laurent,"570-A, rue Saint-Germain est",,(418) 732-8253,
Rimouski,G5L 4E1,10,78,1,enfantdufleuve@globetrotter.net,QC,L'ENFANT DU FLEUVE INC.,CPE,1 - Bas-Saint-Laurent,"61, rue Sainte-Marie",CR,(418) 722-6717,(418) 732-3155
Rimouski,G5L 2Z9,10,78,1,direction@luniversdescopains.ca,QC,L'UNIVERS DES COPAINS,CPE,1 - Bas-Saint-Laurent,"290, allée des Ursulines",CR,(418) 722-4644,(418) 722-4656
Rimouski,G5L 2Z9,10,78,1,direction@luniversdescopains.ca,QC,L'UNIVERS DES COPAINS 2,CPE,1 - Bas-Saint-Laurent,"290, allée des Ursulines",CR,(418) 722-4644,(418) 722-4656
Rimouski,G5L 8B4,10,70,1,eveil95@globetrotter.net,QC,L'ÉVEIL DES CHÉRUBINS,CPE,1 - Bas-Saint-Laurent,"30, rue Saint-Laurent Ouest",CR,(418) 725-4332,(418) 725-4377
Rimouski,G5M 0C6,20,80,1,latraleeadmin@cgocable.ca,QC,LA TRÂLÉE DES PRÉS,CPE,1 - Bas-Saint-Laurent,"350, rue Arthur-Buies Est",CR,(418) 723-4004,(418) 725-5645
Rimouski,G5L 8X9,10,80,1,latraleeadmin@cgocable.ca,QC,LA TRÂLÉE DU PARC,CPE,1 - Bas-Saint-Laurent,"209, rue Tessier",CR,(418) 723-4004,(418) 725-5645
Rimouski,G5M 1J2,10,80,1,farfadets@cgocable.ca,QC,LES FARFADETS DE LA POINTE INC.,CPE,1 - Bas-Saint-Laurent,"365, avenue de la Jeunesse",CR,(418) 722-8311,(418) 721-6282
Rivière-Bleue,G0L 2B0,5,21,1,cperdl@cperdl.com,QC,LA RIBAMBELLE,CPE,1 - Bas-Saint-Laurent,"33, rue des Pins Est",CR,(418) 893-7276,(418) 893-7276
Rivière-du-Loup,G5R 6E3,10,70,1,maryeve.gauvin@cpejardinsjolis.com,QC,LA CLÉ DES BOIS,CPE,1 - Bas-Saint-Laurent,"135, rue Frontenac",CR,(418) 862-1117,(418) 862-6900
Rivière-du-Loup,G5R 2W4,0,34,1,cperdl@cperdl.com,QC,LA LICORNE,CPE,1 - Bas-Saint-Laurent,"61, rue Alexandre",CR,(418) 862-7553,(418) 862-1730
Rivière-du-Loup,G5R 0J5,10,44,1,maryeve.gauvin@cpejardinsjolis.com,QC,LA PASSERELLE DES P'TITS MOUSSES,CPE,1 - Bas-Saint-Laurent,"121, rue Thomas-Jones",CR,(418) 862-1117,(418) 862-6900
Rivière-du-Loup,G5R 6C1,10,42,1,maryeve.gauvin@cpejardinsjolis.com,QC,LA RELÈVE DES MOUSSES,CPE,1 - Bas-Saint-Laurent,"9, avenue Premier",CR,(418) 862-1117,(418) 862-6900
Rivière-du-Loup,G5R 1R1,0,12,1,cperdl@cperdl.com,QC,LE JARDIN,CPE,1 - Bas-Saint-Laurent,"80, rue Frontenac",CR,(418) 862-7553,(418) 862-1730
Rivière-du-Loup,G5R 1H6,15,74,1,cperdl@cperdl.com,QC,MI-LOUP,CPE,1 - Bas-Saint-Laurent,"57, rue Beaubien",CR,(418) 862-7553,(418) 862-1730
Rivière-du-Loup,G5R 0J5,10,44,1,cperdl@cperdl.com,QC,QUENOUILLE ET GRENOUILLE,CPE,1 - Bas-Saint-Laurent,"119, rue Thomas-Jones",CR,(418) 605-1483,(418) 605-1483
Rivière-du-Loup,G5R 2R2,0,30,1,ecolemontessori-rdl@hotmail.ca,QC,ÉCOLE MONTESSORI DE RIVIÈRE-DU-LOUP,GARD,1 - Bas-Saint-Laurent,"27, rue de Lévis",,(418) 867-3343,
Saint-Alexandre-de-Kamouraska,G0L 2G0,5,39,1,cpepitatou@bellnet.ca,QC,CENTRE DE LA PETITE ENFANCE PITATOU,CPE,1 - Bas-Saint-Laurent,"499, rue des Mélèzes",CR,(418) 495-5378,(418) 495-5551
Saint-Anaclet-de-Lessard,G0K 1H0,10,62,1,cpesoleils@globetrotter.net,QC,CENTRE DE LA PETITE ENFANCE LES PETITS SOLEILS MAGIQUES,CPE,1 - Bas-Saint-Laurent,"147, rue Lavoie",CR,(418) 723-4977,(418) 721-3177
Saint-Antonin,G0L 2J0,15,80,1,cperdl@cperdl.com,QC,LA VILLA D'ANTONIN,CPE,1 - Bas-Saint-Laurent,"218, rue Principale",CR,"(418) 862-7553, poste 102",(418) 863-6435
Saint-Cyprien,G0L 2P0,5,21,1,cperdl@cperdl.com,QC,LA ROSE DES VENTS,CPE,1 - Bas-Saint-Laurent,"99, rue Claude",CR,(418) 963-3636,
Saint-Denis-De La Bouteillerie,G0L 2R0,5,21,1,servicesalafamille@videotron.ca,QC,GARDERIE LES PETITS BOURDONS,GARD,1 - Bas-Saint-Laurent,"5, route 132 Est",CR,(418) 498-3541,
Saint-Donat,G0K 1L0,0,16,1,directiongenerale@cpelespinsons.com,QC,INSTALLATION DE SAINT-DONAT,CPE,1 - Bas-Saint-Laurent,"102, rue des Loisirs",CR,(418) 739-1223,(418) 739-5109
Saint-Fabien,G0L 2Z0,5,29,1,mariemorneau27@yahoo.ca,QC,GARDERIE DES TROIS POMMIERS,GARD,1 - Bas-Saint-Laurent,"12, 13e Avenue",,(418) 869-1313,
