FSA,id,name,location_address,location_lat,location_lng,location_cc,location_city,location_state,location_country,category_id,category_name,category_primary
H1A,4c40a93c520fa593a268c8ac,Parc-nature de la Pointe-aux-Prairies,14905 rue Sherbrooke Est,45.6788338495138,-73.50116154250362,CA,Pointe-aux-Trembles,QC,Canada,4bf58dd8d48988d163941735,Park,True
H1A,4c7c38e4ad90224bd3b0890c,Manoir Pointe-Aux-Trembles,,45.65886772925005,-73.51021992084826,CA,,,Canada,,,
H1A,4e0f27877d8bb178a8afb32f,Parc Yves-Thériault,,45.678675,-73.502037,CA,,,Canada,4bf58dd8d48988d163941735,Park,True
H1A,4c8d710e8c4576b0a62e08ae,Metro Plus De La Rousselière,3000 Boul De La Rousselière,45.66936361034833,-73.50662164646042,CA,Montréal,QC,Canada,52f2ab2ebcbc57f1066b8b46,Supermarket,True
H1A,4cfe6bba47699eb062de1515,H&R Block,13882 Sherbrooke Est,45.67508,-73.50197,CA,Pointe-aux-Trembles,QC,Canada,503287a291d4c4b30a586d65,Financial or Legal Service,True
H1A,4c1fe2c3b4e62d7f0552e093,14226 Rue Montmortre #5,,45.674842,-73.501771,CA,,,Canada,,,
H1A,5a9e0219e075506f4a51f0d0,Couche-Tard,13685 Boul Henri-Bourassa,45.665158,-73.510824,CA,Montréal,QC,Canada,4d954b0ea243a5684a65b473,Convenience Store,True
H1A,55bd6829498ee52e3b9efd2a,AMT Gare Pointe-aux-Trembles,14501 Rue Sherbrooke Est,45.67488245493751,-73.50490808486938,CA,Pointe-aux-Trembles,QC,Canada,4bf58dd8d48988d129951735,Train Station,True
H1A,4ec3369e775b92bf9cad9ee0,Couche-Tard,13600 Rue Sherbrooke E,45.663972,-73.5064553,CA,Pointe-aux-Trembles,QC,Canada,4d954b0ea243a5684a65b473,Convenience Store,True
H1A,519deb80498e8864b4c3cb2b,L'unique Source Des Communications,179 rue Corbeil,45.766916744427725,-73.46987843513489,CA,Repentigny,QC,Canada,4bf58dd8d48988d124941735,Office,True
H1A,564f7f65498eba6095917ab3,U-Haul Neighborhood Dealer,14464 Notre Dame Est,45.67385,-73.4929,CA,Montréal,QC,Canada,4f04b1572fb6e1c99f3db0bf,Storage Facility,True
H1A,4b9ee272f964a520550837e3,Service road,,45.66381698482312,-73.5180554574487,CA,,,Canada,4bf58dd8d48988d10c951735,Cosmetics Shop,True
H1A,5453c6e2498e22fa720c8885,Uniprix,"13 170, rue Sherbrooke Est",45.677521177806625,-73.50222587585449,CA,Pointe-aux-Trembles,QC,Canada,4bf58dd8d48988d10f951735,Pharmacy,True
H1A,5aecc02e64c8e1002c9ea9c4,Proxim pharmacie affiliée - Bergeron et Coulombe,14020 Rue de Montigny,45.6686413,-73.4992341,CA,Pointe-aux-Trembles,QC,Canada,4bf58dd8d48988d10f951735,Pharmacy,True
H1A,4d06d9f954d0236a6372fbd5,Dans son Lit,15501 Notre-Dame Est,45.66964,-73.492383,CA,Montréal,QC,Canada,,,
H1A,4c7c3137f56a37048a4c0746,Pavage Broadway,,45.663261,-73.511217,CA,,,Canada,,,
H1A,4f35aaaae4b017ad79206b99,STM Arrêt/Stop #53512,,45.670977175828156,-73.5054827326822,CA,,,Canada,4bf58dd8d48988d12b951735,Bus Line,True
H1A,4f3add61e4b0ccd5ed64c57d,Fleur o Max,13303 Sherbrooke Est,45.666328080546805,-73.5179285375312,CA,Pointe-aux-Trembles,QC,Canada,4bf58dd8d48988d11b951735,Flower Shop,True
H1A,4dd965a9c65bee535ae27af1,Cimetière Hawthorn-Dale,"15005, rue Sherbrooke",45.68300293442117,-73.50221200602894,CA,Montréal,QC,Canada,4bf58dd8d48988d15c941735,Cemetery,True
H1A,50953118e4b02645df5081b6,Chapelle De La Réparation Au Sacré Coeur,,45.669791698000225,-73.51265850435242,CA,,,Canada,4bf58dd8d48988d132941735,Church,True
H1A,4f11dadee4b0aabf18350053,Bibliothèque Pointe-aux-Trembles,"14001 Rue Notre-Dame Est, Montréal, QC H1A 1T9",45.668294403691156,-73.49459202331396,CA,Montréal,QC,Canada,4bf58dd8d48988d12f941735,Library,True
H1A,4decd14152b11677f0766d42,CLSC de l’Est-de-Montréal,13926 Rue Notre-Dame E,45.666504759295144,-73.49432990431679,CA,Montréal,QC,Canada,4bf58dd8d48988d104941735,Medical Center,True
H1A,4ea726c2b6345041a06e39a5,Parc Richelieu,,45.66402996418526,-73.50468707740073,CA,,Québec,Canada,4bf58dd8d48988d163941735,Park,True
H1A,5e21026f97f30900088a7235,L'usine Crossfit Pointe-Aux-Trembles,"13695, rue Sherbrooke Est",45.663094,-73.507545,CA,Montréal,QC,Canada,4bf58dd8d48988d175941735,Gym / Fitness Center,True
H1A,5e541e9ee5b4f30008f3c30c,Nat Epicerie,14005 rue de Montigny,45.668163,-73.49948,CA,Montréal,QC,Canada,4bf58dd8d48988d146941735,Deli / Bodega,True
H1A,5bc77340db2aeb002cb57a1c,Stm Arrêt #53536,,45.66275,-73.501625,CA,Montréal,QC,Canada,52f2ab2ebcbc57f1066b8b4f,Bus Stop,True
H1A,4e8b332d61afcc24d9a19563,Clinique Physiotech,Sherbrooke Est,45.66312465743805,-73.5074140604727,CA,Pointe-aux-Trembles,QC,Canada,4bf58dd8d48988d177941735,Doctor's Office,True
H1A,4cdc93a84006a143a1d9dfb2,Maison de la Culture Pointe-aux-Trembles,,45.670664576450484,-73.4940632462254,CA,Montréal,QC,Canada,4bf58dd8d48988d12f941735,Library,True
H1A,506b8fbae4b0d23ed0fca47f,École Ste-Germaine Cousin,,45.668771920665876,-73.50084654283292,CA,,,Canada,4f4533804b9074f6e4fb0105,Elementary School,True
H1A,53c3edc7498ea876ac0f5096,Parc Marcel-Leger,,45.67730495420729,-73.49686033342576,CA,,,Canada,4bf58dd8d48988d163941735,Park,True
H1A,5054b3f7e4b0c7508b009267,Chalet héritage / Parc nature Pointe-aux-Prairies,14905 Jovette-Bernier,45.667391701833715,-73.50518510028056,CA,,,Canada,4bf58dd8d48988d159941735,Trail,True
H1A,5d61a26ee4c30c00072ad542,Parc Des Pins,42e avenue,45.666485,-73.5166,CA,Montréal,QC,Canada,4bf58dd8d48988d163941735,Park,True
H1A,4f05efee93adf931df229391,Parc Beau Soleil,Beau soleil,45.68565716864214,-73.49283746470012,CA,Montréal,QC,Canada,4bf58dd8d48988d163941735,Park,True
H1A,4c4f12309932e21ef554c9ce,La Patatheque,13640 Sherbrooke est,45.664013,-73.50685,CA,Montréal,QC,Canada,4bf58dd8d48988d16e941735,Fast Food Restaurant,True
H1A,5b24414c4a7aae002c2fda28,Bmx Montreal,15200 Sherbrooke St. E.,45.683384,-73.496603,CA,Montréal,QC,Canada,52e81612bcbc57f1066b7a2e,Sports Club,True
H1A,4be05ab0358fef3b6759648a,Club de Golf de l'île de Montréal,3700 rue Damien-Gauthier,45.685742722852865,-73.51163088380683,CA,Montréal,QC,Canada,4bf58dd8d48988d1e6941735,Golf Course,True
H1A,5cc9f3ba018cbb002cde43f0,Dépanneur De Bon Vent,13685 rue de Montigny,45.66378,-73.501274,CA,Montréal,QC,Canada,4bf58dd8d48988d1f9941735,Food & Drink Shop,True
H1A,537bd75a498e2777ca318fc7,MRC L'Assomption Ligne 400 Repentigny-Montreal via Sherbrooke,,45.67692565917969,-73.5020751953125,CA,,,Canada,4bf58dd8d48988d12b951735,Bus Line,True
H1A,50389fbae4b0304eb4d2fb3c,STM Ligne 86 Pointe-Aux-Trembles,,45.66233087641024,-73.4936929716599,CA,,,Canada,4bf58dd8d48988d12b951735,Bus Line,True
H1A,5dae0083a0d05c00087b9222,Stm Arrêt No 53508,,45.66955,-73.5052,CA,Montréal,QC,Canada,52f2ab2ebcbc57f1066b8b4f,Bus Stop,True
H1A,5d507e751ffb84000802170e,Piscine Richelieu,13600 rue Forsyth,45.66381,-73.50483,CA,Montréal,QC,Canada,4bf58dd8d48988d15e941735,Pool,True
H1A,5d95275c149bcd000850157f,Stm Arrêt No 53495,,45.663303,-73.506714,CA,Montréal,QC,Canada,52f2ab2ebcbc57f1066b8b4f,Bus Stop,True
