FSA,Borough,Neighborhood
H1A,RiviereDesPrairies_PointeAuxTrembles,Pointe-aux-Trembles
H1B,MontrealEst,Montreal-Est
H1C,RiviereDesPrairies_PointeAuxTrembles,Riviere-des-Prairies
H1E,RiviereDesPrairies_PointeAuxTrembles,Riviere-des-Prairies
H1G,MontrealNord,Montreal-Nord
H1H,MontrealNord,Montreal-Nord
H1J,Anjou,Anjou
H1K,Anjou,Anjou
H1L,Mercier_HochelagaMaisonneuve,Mercier
H1M,Mercier_HochelagaMaisonneuve,Mercier
H1N,Mercier_HochelagaMaisonneuve,Mercier
H1P,SaintLeonard,Saint-Leonard
H1R,SaintLeonard,Saint-Leonard
H1S,SaintLeonard,Saint-Leonard
H1T,Rosemont_PetitePatrie,Rosemont
H1V,Mercier_HochelagaMaisonneuve,Maisonneuve
H1W,Mercier_HochelagaMaisonneuve,Hochelaga
H1X,Rosemont_PetitePatrie,Rosemont
H1Y,Rosemont_PetitePatrie,Rosemont
H1Z,Villeray_StMichel_ParcExtension,Saint-Michel
H2A,Villeray_StMichel_ParcExtension,Saint-Michel
H2B,AhuntsicCartierville,Ahuntsic
H2C,AhuntsicCartierville,Ahuntsic
H2E,Villeray_StMichel_ParcExtension,Villeray
H2G,Rosemont_PetitePatrie,Petite-Patrie
H2H,PlateauMontRoyal,Plateau Mont-Royal
H2J,PlateauMontRoyal,Plateau Mont-Royal
H2K,VilleMarie,Centre-Sud
H2L,VilleMarie,Centre-Sud
H2M,AhuntsicCartierville,Ahuntsic
H2N,AhuntsicCartierville,Ahuntsic
H2P,Villeray_StMichel_ParcExtension,Villeray
H2R,Villeray_StMichel_ParcExtension,Villeray
H2S,Rosemont_PetitePatrie,Petite-Patrie
H2T,PlateauMontRoyal,Plateau Mont-Royal
H2V,Outremont,Outremont
H2W,PlateauMontRoyal,Plateau Mont-Royal
H2X,PlateauMontRoyal,Plateau Mont-Royal
H2Y,VilleMarie,Vieux-Montreal
H2Z,VilleMarie,Centre-ville de Montreal
H3A,VilleMarie,Centre-ville de Montreal
H3B,VilleMarie,Centre-ville de Montreal
H3C,SudOuest,Griffintown
H3E,Verdun_IleDesSoeurs,Ile des Sœurs
H3G,VilleMarie,Centre-ville de Montreal
H3H,VilleMarie,Centre-ville de Montreal
H3J,SudOuest,Petite-Bourgogne
H3K,SudOuest,Pointe Saint-Charles
H3L,AhuntsicCartierville,Ahuntsic
H3M,AhuntsicCartierville,Cartierville
H3N,Villeray_StMichel_ParcExtension,Parc-Extension
H3P,MontRoyal,Mont-Royal
H3R,MontRoyal,Mont-Royal
H3S,CoteDesNeiges_NotreDameDeGrace,Cote-des-Neiges
H3T,CoteDesNeiges_NotreDameDeGrace,Cote-des-Neiges
H3V,CoteDesNeiges_NotreDameDeGrace,Cote-des-Neiges
H3W,CoteDesNeiges_NotreDameDeGrace,Cote-des-Neiges
H3X,Hampstead,Hampstead
H3Y,Westmount,Westmount
H3Z,Westmount,Westmount
H4A,CoteDesNeiges_NotreDameDeGrace,Notre-Dame-de-Grace
H4B,CoteDesNeiges_NotreDameDeGrace,Notre-Dame-de-Grace
H4C,SudOuest,Saint-Henri
H4E,SudOuest,Ville Emard
H4G,Verdun_IleDesSoeurs,Verdun
H4H,Verdun_IleDesSoeurs,Verdun
H4J,AhuntsicCartierville,Cartierville
H4K,AhuntsicCartierville,Cartierville
H4L,SaintLaurent,Saint-Laurent
H4M,SaintLaurent,Saint-Laurent
H4N,SaintLaurent,Saint-Laurent
H4P,MontRoyal,Mont-Royal
H4R,SaintLaurent,Saint-Laurent
H4S,SaintLaurent,Saint-Laurent
H4T,SaintLaurent,Saint-Laurent
H4V,CoteStLuc,Cote-Saint-Luc
H4W,CoteStLuc,Cote-Saint-Luc
H4X,MontrealOuest,Montreal-Ouest
H4Y,Dorval,Dorval
H4Z,VilleMarie,Centre-ville de Montreal
H5A,VilleMarie,Centre-ville de Montreal
H5B,VilleMarie,Centre-ville de Montreal
H8N,Lasalle,LaSalle
H8P,Lasalle,LaSalle
H8R,Lachine,Ville Saint-Pierre
H8S,Lachine,Lachine
H8T,Lachine,Lachine
H8Y,PierrefondsRoxboro,Roxboro
H8Z,PierrefondsRoxboro,Pierrefonds
H9A,DollardDesOrmeaux,Dollard-Des-Ormeaux
H9B,DollardDesOrmeaux,Dollard-Des-Ormeaux
H9C,IleBizard_SteGenevieve,Ile-Bizard
H9E,IleBizard_SteGenevieve,Ile-Bizard
H9G,DollardDesOrmeaux,Dollard-Des-Ormeaux
H9H,IleBizard_SteGenevieve,Sainte-Genevieve
H9J,Kirkland,Kirkland
H9K,Senneville,Senneville
H9P,Dorval,Dorval
H9R,PointeClaire,Pointe-Claire
H9S,IleDorval,Ile-Dorval
H9W,Beaconsfield,Beaconsfield
H9X,SteAnneDeBellevue,Sainte-Anne-de-Bellevue
