,FSA,Latitude,Longitude,Walkscore,WalkscoreDescription,Transitscore,TransitDescription,Bikescore,BikeDescription
0,H1A,45.67299343,-73.50174511,29,Car-Dependent,53,Good Transit,62,Bikeable
1,H1A,45.69905678,-73.5077088,1,Car-Dependent,37,Some Transit,52,Bikeable
2,H1A,45.64638584,-73.53409337,0,Car-Dependent,37,Some Transit,34,Somewhat Bikeable
3,H1A,45.65065612,-73.53945456,7,Car-Dependent,43,Some Transit,35,Somewhat Bikeable
4,H1A,45.67016269,-73.50217865,37,Car-Dependent,53,Good Transit,67,Bikeable
5,H1A,45.66125244,-73.50013609,34,Car-Dependent,52,Good Transit,68,Bikeable
6,H1A,45.68088256,-73.49438326,7,Car-Dependent,50,Good Transit,63,Bikeable
7,H1A,45.69246047,-73.5007498,2,Car-Dependent,48,Some Transit,60,Bikeable
8,H1A,45.69002727,-73.48464324,21,Car-Dependent,47,Some Transit,50,Bikeable
9,H1A,45.65433031,-73.52946664,6,Car-Dependent,47,Some Transit,31,Somewhat Bikeable
10,H1A,45.68816428,-73.50718906,1,Car-Dependent,42,Some Transit,45,Somewhat Bikeable
11,H1A,45.65451439,-73.50062974,42,Car-Dependent,51,Good Transit,53,Bikeable
12,H1A,45.66496214,-73.50711487,52,Somewhat Walkable,52,Good Transit,59,Bikeable
13,H1A,45.68495455,-73.51143,1,Car-Dependent,38,Some Transit,58,Bikeable
14,H1A,45.65048204,-73.51181099,68,Somewhat Walkable,51,Good Transit,53,Bikeable
15,H1A,45.67750637,-73.5081977,2,Car-Dependent,50,Good Transit,60,Bikeable
16,H1A,45.69524387,-73.50466111,1,Car-Dependent,44,Some Transit,58,Bikeable
17,H1A,45.66737614,-73.51363663,26,Car-Dependent,48,Some Transit,61,Bikeable
18,H1A,45.65881943,-73.49025233,8,Car-Dependent,46,Some Transit,51,Bikeable
19,H1A,45.65725807,-73.51350299,63,Somewhat Walkable,50,Good Transit,54,Bikeable
20,H1A,45.66295681,-73.50961027,55,Somewhat Walkable,51,Good Transit,57,Bikeable
21,H1A,45.66049606,-73.5166221,50,Car-Dependent,49,Some Transit,53,Bikeable
22,H1A,45.6969533,-73.48318023,21,Car-Dependent,49,Some Transit,47,Somewhat Bikeable
23,H1A,45.69412277,-73.483952,22,Car-Dependent,48,Some Transit,46,Somewhat Bikeable
24,H1A,45.68650475,-73.50989218,1,Car-Dependent,38,Some Transit,55,Bikeable
25,H1A,45.68664212,-73.50952719,1,Car-Dependent,40,Some Transit,53,Bikeable
26,H1A,45.67233686,-73.49830624,31,Car-Dependent,53,Good Transit,70,Very Bikeable
27,H1A,45.65043853,-73.49276066,12,Car-Dependent,48,Some Transit,57,Bikeable
28,H1A,45.66629509,-73.50061615,38,Car-Dependent,53,Good Transit,72,Very Bikeable
29,H1A,45.65259715,-73.49750509,33,Car-Dependent,51,Good Transit,55,Bikeable
30,H1A,45.68100213,-73.51308302,0,Car-Dependent,41,Some Transit,58,Bikeable
31,H1A,45.67035179,-73.50368783,38,Car-Dependent,53,Good Transit,64,Bikeable
32,H1A,45.69223358,-73.4973146,10,Car-Dependent,49,Some Transit,65,Bikeable
33,H1A,45.65077872,-73.49047857,9,Car-Dependent,47,Some Transit,55,Bikeable
34,H1A,45.67764411,-73.50466914,6,Car-Dependent,51,Good Transit,64,Bikeable
35,H1A,45.68586098,-73.50193045,2,Car-Dependent,48,Some Transit,58,Bikeable
36,H1A,45.64548282,-73.53451975,1,Car-Dependent,37,Some Transit,37,Somewhat Bikeable
37,H1A,45.67201988,-73.5105768,22,Car-Dependent,49,Some Transit,62,Bikeable
38,H1A,45.66662006,-73.49807129,34,Car-Dependent,53,Good Transit,72,Very Bikeable
