,fsa,latitude,longitude,Walkscore,WalkscoreDescription,Transitscore,TransitDescription,Bikescore,BikeDescription
0,H1A,45.67299343259298,-73.50174511410697,29.0,Car-Dependent,,,62.0,Bikeable
1,H1A,45.699056780284444,-73.5077088034678,1.0,Car-Dependent,,,52.0,Bikeable
2,H1A,45.64638583729258,-73.53409336652838,0.0,Car-Dependent,,,34.0,Somewhat Bikeable
3,H1A,45.650656119283795,-73.53945456380927,7.0,Car-Dependent,,,35.0,Somewhat Bikeable
4,H1A,45.67016269440653,-73.50217864849078,37.0,Car-Dependent,,,67.0,Bikeable
5,H1A,45.66125244473418,-73.50013608817927,34.0,Car-Dependent,,,68.0,Bikeable
6,H1A,45.68088255564546,-73.49438326404439,7.0,Car-Dependent,,,63.0,Bikeable
7,H1A,45.69246047007614,-73.50074980007595,2.0,Car-Dependent,,,60.0,Bikeable
8,H1A,45.69002727239281,-73.48464324311466,21.0,Car-Dependent,,,50.0,Bikeable
9,H1A,45.654330312809556,-73.52946664384416,6.0,Car-Dependent,,,31.0,Somewhat Bikeable
10,H1A,45.68816428135821,-73.50718906443005,1.0,Car-Dependent,,,45.0,Somewhat Bikeable
11,H1A,45.65451439053336,-73.50062973551823,42.0,Car-Dependent,,,53.0,Bikeable
12,H1A,45.66496213648389,-73.50711487378366,52.0,Somewhat Walkable,,,59.0,Bikeable
13,H1A,45.68495454785178,-73.5114299968832,1.0,Car-Dependent,,,58.0,Bikeable
14,H1A,45.65048204476946,-73.51181099424107,68.0,Somewhat Walkable,,,53.0,Bikeable
15,H1A,45.67750636657527,-73.50819770257071,2.0,Car-Dependent,,,60.0,Bikeable
16,H1A,45.69524386581233,-73.504661105573,1.0,Car-Dependent,,,58.0,Bikeable
17,H1A,45.66737613571645,-73.5136366275523,26.0,Car-Dependent,,,61.0,Bikeable
18,H1A,45.65881943371772,-73.49025232713544,8.0,Car-Dependent,,,51.0,Bikeable
19,H1A,45.65725807181368,-73.51350299216104,63.0,Somewhat Walkable,,,54.0,Bikeable
20,H1A,45.66295681295122,-73.50961027147858,55.0,Somewhat Walkable,,,57.0,Bikeable
21,H1A,45.6604960609392,-73.51662210263589,50.0,Car-Dependent,,,53.0,Bikeable
22,H1A,45.696953301102894,-73.48318023332926,21.0,Car-Dependent,,,47.0,Somewhat Bikeable
23,H1A,45.69412277275139,-73.48395200467749,22.0,Car-Dependent,,,46.0,Somewhat Bikeable
24,H1A,45.68650474873639,-73.50989217691921,1.0,Car-Dependent,,,55.0,Bikeable
25,H1A,45.686642115569725,-73.50952718693084,1.0,Car-Dependent,,,53.0,Bikeable
26,H1A,45.67233685869749,-73.49830624285123,31.0,Car-Dependent,,,70.0,Very Bikeable
27,H1A,45.65043852989393,-73.49276065886504,12.0,Car-Dependent,,,57.0,Bikeable
28,H1A,45.66629509130599,-73.5006161497314,38.0,Car-Dependent,,,72.0,Very Bikeable
29,H1A,45.6525971499057,-73.49750509094396,33.0,Car-Dependent,,,55.0,Bikeable
30,H1A,45.681002134436824,-73.51308302167867,0.0,Car-Dependent,,,58.0,Bikeable
31,H1A,45.67035178888584,-73.50368783482187,38.0,Car-Dependent,,,64.0,Bikeable
32,H1A,45.692233581840895,-73.49731460241854,10.0,Car-Dependent,,,65.0,Bikeable
33,H1A,45.65077871831958,-73.49047856587586,9.0,Car-Dependent,,,55.0,Bikeable
34,H1A,45.677644105562905,-73.5046691432239,6.0,Car-Dependent,,,64.0,Bikeable
35,H1A,45.68586097872404,-73.50193045233314,2.0,Car-Dependent,,,58.0,Bikeable
36,H1A,45.64548281759232,-73.53451974590288,1.0,Car-Dependent,,,37.0,Somewhat Bikeable
