,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,fsa,latitude,longitude,Walkscore,WalkscoreDescription,Transitscore,TransitDescription,Bikescore,BikeDescription
0,0,0,0,0,0,0,H1A,45.66731391,-73.48760058,9.0,Car-Dependent,,,44.0,Somewhat Bikeable
1,1,1,1,1,1,1,H1A,45.67299343,-73.50174511,29.0,Car-Dependent,54.0,Good Transit,62.0,Bikeable
2,2,2,2,2,2,2,H1A,45.69247644,-73.48064643,19.0,Car-Dependent,,,44.0,Somewhat Bikeable
3,3,3,3,3,3,3,H1A,45.69905678,-73.5077088,1.0,Car-Dependent,37.0,Some Transit,52.0,Bikeable
4,4,4,4,4,4,4,H1A,45.70018327,-73.49387583,8.0,Car-Dependent,,,36.0,Somewhat Bikeable
5,5,5,5,5,5,5,H1A,45.64638584,-73.53409337,0.0,Car-Dependent,37.0,Some Transit,34.0,Somewhat Bikeable
6,6,6,6,6,6,6,H1A,45.65065612,-73.53945456,15.0,Car-Dependent,43.0,Some Transit,35.0,Somewhat Bikeable
7,7,7,7,7,7,7,H1A,45.67016269,-73.50217865,37.0,Car-Dependent,54.0,Good Transit,67.0,Bikeable
8,8,8,8,8,8,8,H1A,45.66125244,-73.50013609,34.0,Car-Dependent,52.0,Good Transit,66.0,Bikeable
9,9,9,9,9,9,9,H1A,45.68088256,-73.49438326,7.0,Car-Dependent,50.0,Good Transit,65.0,Bikeable
10,10,10,10,10,10,10,H1A,45.69246047,-73.50074980000001,2.0,Car-Dependent,48.0,Some Transit,60.0,Bikeable
11,11,11,11,11,11,11,H1A,45.69002727,-73.48464324,21.0,Car-Dependent,47.0,Some Transit,50.0,Bikeable
12,12,12,12,12,12,12,H1A,45.65433031,-73.52946664,6.0,Car-Dependent,47.0,Some Transit,31.0,Somewhat Bikeable
13,13,13,13,13,13,13,H1A,45.68816428,-73.50718906,1.0,Car-Dependent,42.0,Some Transit,45.0,Somewhat Bikeable
14,14,14,14,14,14,14,H1A,45.65451439,-73.50062974,42.0,Car-Dependent,51.0,Good Transit,53.0,Bikeable
15,15,15,15,15,15,15,H1A,45.66496214,-73.50711487,52.0,Somewhat Walkable,52.0,Good Transit,59.0,Bikeable
16,16,16,16,16,16,16,H1A,45.68495455,-73.51143,1.0,Car-Dependent,38.0,Some Transit,58.0,Bikeable
17,17,17,17,17,17,17,H1A,45.65048204,-73.51181099,68.0,Somewhat Walkable,51.0,Good Transit,53.0,Bikeable
18,18,18,18,18,18,18,H1A,45.67750637,-73.50819770000001,2.0,Car-Dependent,50.0,Good Transit,60.0,Bikeable
19,19,19,19,19,19,19,H1A,45.69524387,-73.50466111,1.0,Car-Dependent,45.0,Some Transit,58.0,Bikeable
20,20,20,20,20,20,20,H1A,45.66737614,-73.51363663,26.0,Car-Dependent,48.0,Some Transit,61.0,Bikeable
21,21,21,21,21,21,21,H1A,45.65881943,-73.49025233,8.0,Car-Dependent,46.0,Some Transit,51.0,Bikeable
22,22,22,22,22,22,22,H1A,45.65725807,-73.51350299,63.0,Somewhat Walkable,50.0,Good Transit,54.0,Bikeable
23,23,23,23,23,23,23,H1A,45.66295681,-73.50961027,55.0,Somewhat Walkable,52.0,Good Transit,57.0,Bikeable
24,24,24,24,24,24,24,H1A,45.66049606,-73.51662209999999,50.0,Car-Dependent,50.0,Good Transit,53.0,Bikeable
25,25,25,25,25,25,25,H1A,45.6969533,-73.48318023,21.0,Car-Dependent,49.0,Some Transit,47.0,Somewhat Bikeable
26,26,26,26,26,26,26,H1A,45.69412277,-73.483952,22.0,Car-Dependent,49.0,Some Transit,46.0,Somewhat Bikeable
27,27,27,27,27,27,27,H1A,45.68650475,-73.50989218,1.0,Car-Dependent,38.0,Some Transit,55.0,Bikeable
28,28,28,28,28,28,28,H1A,45.68664212,-73.50952719,1.0,Car-Dependent,41.0,Some Transit,53.0,Bikeable
29,29,29,29,29,29,29,H1A,45.67233686,-73.49830624,31.0,Car-Dependent,54.0,Good Transit,70.0,Very Bikeable
30,30,30,30,30,30,30,H1A,45.65043853,-73.49276066,12.0,Car-Dependent,48.0,Some Transit,57.0,Bikeable
31,31,31,31,31,31,31,H1A,45.66629509,-73.50061615,38.0,Car-Dependent,53.0,Good Transit,72.0,Very Bikeable
32,32,32,32,32,32,32,H1A,45.65259715,-73.49750509,33.0,Car-Dependent,51.0,Good Transit,55.0,Bikeable
33,33,33,33,33,33,33,H1A,45.68100213,-73.51308302,0.0,Car-Dependent,42.0,Some Transit,58.0,Bikeable
34,34,34,34,34,34,34,H1A,45.67035179,-73.50368783,38.0,Car-Dependent,53.0,Good Transit,64.0,Bikeable
35,35,35,35,35,35,35,H1A,45.6994466,-73.50847596,1.0,Car-Dependent,35.0,Some Transit,53.0,Bikeable
36,36,36,36,36,36,36,H1A,45.69223358,-73.4973146,10.0,Car-Dependent,49.0,Some Transit,62.0,Bikeable
37,37,37,37,37,37,37,H1A,45.65077872,-73.49047857,9.0,Car-Dependent,47.0,Some Transit,55.0,Bikeable
38,38,38,38,38,38,38,H1A,45.67764411,-73.50466914,6.0,Car-Dependent,52.0,Good Transit,64.0,Bikeable
39,39,39,39,39,39,39,H1A,45.68586098,-73.50193045,2.0,Car-Dependent,48.0,Some Transit,58.0,Bikeable
40,40,40,40,40,40,40,H1A,45.64548282,-73.53451975,1.0,Car-Dependent,37.0,Some Transit,37.0,Somewhat Bikeable
41,41,41,41,41,41,41,H1A,45.66270751,-73.48570014,20.0,Car-Dependent,,,31.0,Somewhat Bikeable
42,42,42,42,42,42,42,H1A,45.69998056,-73.50726558,1.0,Car-Dependent,,,45.0,Somewhat Bikeable
43,43,43,43,43,43,43,H1A,45.67201988,-73.5105768,22.0,Car-Dependent,49.0,Some Transit,62.0,Bikeable
44,44,44,44,44,44,44,H1A,45.66662006,-73.49807129,34.0,Car-Dependent,53.0,Good Transit,72.0,Very Bikeable
45,45,45,45,45,45,45,H1A,45.66228821,-73.50406599,49.0,Car-Dependent,53.0,Good Transit,62.0,Bikeable
46,46,46,46,46,46,46,H1A,45.69338614,-73.48165429999999,22.0,Car-Dependent,47.0,Some Transit,46.0,Somewhat Bikeable
47,47,47,47,47,47,47,H1A,45.65798637,-73.49452271,10.0,Car-Dependent,49.0,Some Transit,59.0,Bikeable
48,48,48,48,48,48,48,H1A,45.66299636,-73.50973905,55.0,Somewhat Walkable,52.0,Good Transit,57.0,Bikeable
49,49,49,49,49,49,49,H1A,45.69263948,-73.49098195,19.0,Car-Dependent,50.0,Good Transit,60.0,Bikeable
50,50,50,50,50,50,50,H1A,45.65251132,-73.51173798,68.0,Somewhat Walkable,51.0,Good Transit,53.0,Bikeable
51,51,51,51,51,51,51,H1A,45.65286551,-73.52445034,13.0,Car-Dependent,44.0,Some Transit,38.0,Somewhat Bikeable
52,52,52,52,52,52,52,H1A,45.68690382,-73.50438394,2.0,Car-Dependent,46.0,Some Transit,47.0,Somewhat Bikeable
53,53,53,53,53,53,53,H1A,45.65106308,-73.48184831,18.0,Car-Dependent,,,32.0,Somewhat Bikeable
54,54,54,54,54,54,54,H1A,45.67070237,-73.49633647,32.0,Car-Dependent,53.0,Good Transit,73.0,Very Bikeable
55,55,55,55,55,55,55,H1A,45.690554,-73.49088266,22.0,Car-Dependent,49.0,Some Transit,65.0,Bikeable
56,56,56,56,56,56,56,H1A,45.64954314,-73.4884338,10.0,Car-Dependent,46.0,Some Transit,54.0,Bikeable
57,57,57,57,57,57,57,H1A,45.69259362,-73.49313825,17.0,Car-Dependent,50.0,Good Transit,63.0,Bikeable
