,Name,Latitude,Longitude,Address,fsa
0,Station Angrignon,45.446466,-73.603118,"3456, Boulevard des Trinitaires, Ville-Émard, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8N 3E4, Canada", H8N 3E4
1,Station Monk,45.451158,-73.593242,"6750, Boulevard Monk, Côte-Saint-Paul, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4E 3H9, Canada", H4E 3H9
2,Station Jolicoeur,45.45701,-73.581691,"6200, Rue Drake, Côte-Saint-Paul, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4E 2A8, Canada", H4E 2A8
3,Station Verdun,45.459441,-73.572021,"École Lévis-Sauvé, Rue Rielle, Verdun-Centre, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 1W3, Canada", H4G 1W3
4,Station De l'Ã‰glise,45.461894,-73.567074,"4214, Rue Wellington, Verdun-Centre, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 1V6, Canada", H4G 1V6
5,Station LaSalle,45.471063,-73.566267,"Station LaSalle, Rue Caisse, Verdun-Centre, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 3M3, Canada", H4G 3M3
6,Station Charlevoix,45.478465,-73.569336,"2567, Rue Centre, Pointe-Saint-Charles, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3K 1J4, Canada", H3K 1J4
7,Station Lionel-Groulx,45.482509,-73.58018,"Lionel-Groulx, BUS, Saint-Henri, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4C 1P3, Canada", H4C 1P3
8,Station Atwater,45.490068,-73.585812,"2021, Avenue Atwater, Montagne, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3Z 1X5, Canada", H3Z 1X5
9,Station Guy-Concordia,45.49557,-73.57931,"Concordia University (SGW Campus), Rue Bishop, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3G 2E9, Canada", H3G 2E9
